Time,X,Y,Z,Linear Speed,Wheel 1 Speed,Wheel 2 Speed,Wheel 3 Speed,Wheel 4 Speed,Wheel 1 Torque,Wheel 2 Torque,Wheel 3 Torque,Wheel 4 Torque
4.76837158203125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010207176208496094,0.0013254075993892806,1.24848167461079e-05,4.141712514705647e-05,0.16789863727887175,11.199999701975438,11.199999910114514,11.19999466554691,11.199997621380819,0.25862817129657845,0.25862788838713485,17.945116110399585,18.15923486776574
0.021603822708129883,0.0042670056846360474,-1.0814286433103803e-05,-0.0001756385703454579,0.2902729122997085,11.200000643209716,11.200000657299986,11.199980193814525,11.20001412202567,0.13416624755624165,0.13416659172015408,53.73885255092796,54.162099460421125
0.03356051445007324,0.00891041977914717,-6.378783324430879e-06,-0.00014279993162833116,0.43286900362925657,11.20000028028555,11.20000025304312,11.199974604463197,11.20004359786053,-0.07064163550634048,-0.07064735435144663,88.27439264785345,82.2555662255256
0.043755531311035156,0.013239835930716173,4.582125114623161e-05,0.00030605158834671336,0.5468576855104409,11.200000449316935,11.2000004632586,11.199974122005601,11.200021778772317,0.15204821839196103,0.15204815211096329,48.24064031137617,52.42935656540376
0.054000139236450195,0.020979131782905187,3.991782665915106e-05,0.0010189084751124696,0.6818517111441383,11.199999796696327,11.199999824666783,11.199944568195374,11.200042257393578,-0.060494790452895984,-0.060499992253300626,79.83788369282898,84.36805936852407
0.06421852111816406,0.027315368016303555,-3.6806141053601938e-06,0.0018679433878960852,0.7897628435914941,11.199999889707975,11.19999988510986,11.199970756570101,11.200049641731761,0.16416384319130528,0.16416403069033372,47.78673880493355,43.75649654218313
0.07656002044677734,0.03869337445486288,2.3002332134428143e-05,0.0038266564446212572,0.9941466455910665,11.199997117308186,11.199997347806681,11.199569034607206,11.200409946392602,0.015747872966215333,0.015750980354372484,59.915316005844865,66.28560990014905
0.08709979057312012,0.04759056065865529,-1.2727399287718403e-05,0.005645879271118189,1.107965930248664,11.199999621496096,11.199999865576904,11.199989536746774,11.199997694978963,0.24958526949093407,0.2495885898967784,12.226694318719307,12.447730525377118
0.09942960739135742,0.06728922961624376,-7.316680690088999e-05,0.0092479379576471,1.2935414225263913,11.199999439207657,11.19999942875022,11.20007843048741,11.199952195724386,0.04697089131597907,0.046970814317781745,65.95333207996974,59.52811764591483
0.10976624488830566,0.07830220575419342,-3.841523283178733e-05,0.01124686962426809,1.3791392322196396,11.19999885557283,11.199998742125603,11.199970347887307,11.200086530696769,-0.15124873054770682,-0.15125383974879564,71.65343825668747,74.0994875051186
0.12009716033935547,0.09031159974295375,-4.4703786989747e-05,0.013596729040607186,1.5041672872064626,11.199999873241083,11.199999872905842,11.200054750049608,11.199953602761788,0.13140454969539733,0.13140457399076208,32.75650938441896,37.3149193156606
0.13179826736450195,0.10947715185422524,-8.57944498905615e-05,0.017064710825174724,1.5989718878786678,11.200000304431725,11.200000326161748,11.199891619180432,11.200097715427395,-0.10970780508152507,-0.10970922344906833,62.79842504754234,61.406666873955636
0.14200282096862793,0.1300994305059641,-6.392833830989235e-05,0.0205399618376276,1.7037251210799709,11.200000018327565,11.200000022045568,11.199969707351356,11.200044404570555,0.1280129857072476,0.12801262004212857,35.20204244648209,29.23206285944747
0.1521894931793213,0.14488318624294724,-6.17477236481347e-05,0.023085530489008733,1.8266379902034693,11.20000044053111,11.200000436602195,11.20011601720836,11.19986866496233,-0.0848609968995409,-0.08486098907674994,52.48575888187597,54.865042141687766
0.16237258911132812,0.16830710861607956,-0.00010089712982922523,0.026955382593254622,1.9248728259544396,11.199999745052775,11.199999746607471,11.199890405665817,11.200157041394833,0.17211030332944305,0.17210992244857495,16.114916476713038,21.198074202414688
0.17756938934326172,0.1928175284412026,-9.223858223784476e-05,0.03092354549325605,1.987216828092282,11.200001933110398,11.200002151463902,11.199941406258228,11.199552622439729,0.7465356656650667,0.7465329511139112,10.596250727160024,12.415982824166777
0.18779492378234863,0.21730482913777263,-8.461406411973982e-05,0.03438107464869296,1.9796821488840806,11.200003265757065,11.200003677398774,11.19784757100151,11.201229112082208,0.9783199957631898,0.9783270285778979,27.934450417732805,22.24453706095976
0.1980113983154297,0.23367660530407813,-9.46213111790277e-05,0.03653257155029714,1.9803780687736972,11.200000877361152,11.200001004096535,11.199140436751671,11.200580266835033,0.6881117610485472,0.6881099494313786,9.692188600179414,7.633910386217684
0.20822525024414062,0.2582199214545582,-9.978357215902841e-05,0.03947823892918139,1.9819535104022714,11.200002991759414,11.200003326042145,11.200726696982272,11.198522788929324,0.8049829873329669,0.8049811715591708,17.812187844274003,21.879073269197587
0.21959304809570312,0.27463005113535943,-8.999530547011305e-05,0.041271649719576496,1.9794982167050146,11.200000705147586,11.200000812827826,11.198392602305665,11.201358509619842,0.7422262719669879,0.742224690056273,9.603885463787003,5.655339085382869
0.22978854179382324,0.29924453293378045,-8.505322679638031e-05,0.04341028086452171,1.980956120120122,11.200001650279841,11.200001863772783,11.198564802697804,11.20097066908933,0.7811398068669096,0.7811366810613899,18.84703633807226,13.897741273102138
0.2404475212097168,0.31568291222809186,-9.807156890728077e-05,0.04456121190008072,1.975054081752547,11.200000119861034,11.200000130452802,11.20057356791103,11.19941505648485,0.6722679603794032,0.6722666456148532,2.2409052011459987,5.141811269009199
